FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/Args.java,56,56,NaN,0,2,0,0,
src/main/java/example/Args.java,57,57,NaN,0,2,0,0,
src/main/java/example/Args.java,68,68,NaN,0,2,0,0,
src/main/java/example/Args.java,69,70,NaN,0,2,0,0,
src/main/java/example/Args.java,81,81,NaN,0,2,0,0,
src/main/java/example/Args.java,82,83,NaN,0,2,0,0,
src/main/java/example/Args.java,98,98,1.0,2,0,0,0,
src/main/java/example/Args.java,99,101,1.0,2,0,0,0,
src/main/java/example/Args.java,116,116,NaN,0,2,0,0,
src/main/java/example/Args.java,117,118,NaN,0,2,0,0,
