mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, Math,57, ""Null '" + name + "' argument."", ""Null '" - name - "' argument."",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
2, Math,69, ""Require '" + name + "' ("+ value+ ") to be non-negative."", ""Require '" - name - "' ("- value- ") to be non-negative."",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
3, Math,82, ""Require '" + name + "' ("+ value+ ") to be non-negative."", ""Require '" - name - "' ("- value- ") to be non-negative."",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
4, Math,99, ""Require '" + name + "' ("+ value+ ") to be in the range "+ lowerBound+ " to "+ upperBound", ""Require '" - name - "' ("- value- ") to be in the range "- lowerBound- " to "- upperBound",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
5, Math,117, ""Require '" + name + "' ("+ value+ ") to be finite."", ""Require '" - name - "' ("- value- ") to be finite."",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
6, ChangeUnaryOperator,116, "!Double.isFinite(value)", "Double.isFinite(value)",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
7, ChangeStringLiteral,57, ""Null '"", ""Null '1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
8, ChangeStringLiteral,57, ""' argument."", ""' argument.1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, ChangeStringLiteral,69, ""Require '"", ""Require '1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
10, ChangeStringLiteral,69, ""' ("", ""' (1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
11, ChangeStringLiteral,70, "") to be non-negative."", "") to be non-negative.1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
12, ChangeStringLiteral,82, ""Require '"", ""Require '1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
13, ChangeStringLiteral,82, ""' ("", ""' (1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
14, ChangeStringLiteral,83, "") to be non-negative."", "") to be non-negative.1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
15, ChangeStringLiteral,99, ""Require '"", ""Require '1"",CREATED,0.0,15,true,99,1,1.0,2,0.0,1.0,2,0,0,0,
16, ChangeStringLiteral,99, ""' ("", ""' (1"",CREATED,0.0,16,true,99,1,1.0,2,0.0,1.0,2,0,0,0,
17, ChangeStringLiteral,100, "") to be in the range "", "") to be in the range 1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
18, ChangeStringLiteral,100, "" to "", "" to 1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
19, ChangeStringLiteral,117, ""Require '"", ""Require '1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
20, ChangeStringLiteral,117, ""' ("", ""' (1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
21, ChangeStringLiteral,118, "") to be finite."", "") to be finite.1"",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
22, ChangeNumericLiteral,68, "0", "1",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
23, ChangeNumericLiteral,81, "0", "1",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
24, MoreSpecificIfLeft,98, "value < lowerBound || value > upperBound", "value < lowerBound",CREATED,0.0,24,true,98,1,1.0,1,1.0,1.0,2,0,0,0,
25, MoreSpecificIfRight,98, "value < lowerBound || value > upperBound", "value > upperBound",CREATED,0.0,25,true,98,1,1.0,1,1.0,1.0,2,0,0,0,
26, ConditionalsBoundary,68, "value < 0", "value <= 0",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
27, ConditionalsBoundary,81, "value < 0", "value <= 0",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
28, ConditionalsBoundary,98, "value < lowerBound", "value <= lowerBound",CREATED,0.0,28,true,98,1,1.0,2,0.0,1.0,2,0,0,0,
29, ConditionalsBoundary,98, "value > upperBound", "value >= upperBound",CREATED,0.0,29,true,98,1,1.0,2,0.0,1.0,2,0,0,0,
30, NegateConditionals,56, "param == null", "param != null",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
