FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/BinaryExponentiation.java,20,20,1.0,11,0,0,11,
src/main/java/example/BinaryExponentiation.java,21,21,NaN,0,11,0,11,
src/main/java/example/BinaryExponentiation.java,23,23,1.0,11,0,0,11,
src/main/java/example/BinaryExponentiation.java,24,24,NaN,0,11,0,11,
src/main/java/example/BinaryExponentiation.java,26,26,NaN,0,11,0,11,
src/main/java/example/BinaryExponentiation.java,31,31,0.0,0,11,11,0,
src/main/java/example/BinaryExponentiation.java,32,32,0.0,0,11,11,0,
src/main/java/example/BinaryExponentiation.java,33,33,0.0,0,11,11,0,
src/main/java/example/BinaryExponentiation.java,34,34,0.0,0,11,11,0,
src/main/java/example/BinaryExponentiation.java,35,35,0.0,0,11,11,0,
src/main/java/example/BinaryExponentiation.java,33,39,0.0,0,11,11,0,
src/main/java/example/BinaryExponentiation.java,37,37,0.0,0,11,11,0,
src/main/java/example/BinaryExponentiation.java,38,38,0.0,0,11,11,0,
src/main/java/example/BinaryExponentiation.java,40,40,0.0,0,11,11,0,
