mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
13,false,20,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
13,false,21,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
13,false,23,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
13,false,24,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
13,false,26,10,0.3076923076923077,14,0.0,0.0,0,11,11,0,
13,true,31,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
13,false,32,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
13,false,33,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
13,false,33,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
13,false,34,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
13,false,35,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
13,false,37,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
13,false,38,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
13,false,40,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
