mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, PrimitiveReturns,24, "x * calculatePower(x，y - 1)", "0",CREATED,0.5,1,true,24,1,1.0,4,0.75,1.0,11,0,0,11,
2, PrimitiveReturns,26, "calculatePower(x * x，y / 2)", "0",CREATED,0.5,2,true,26,1,1.0,3,0.8181818181818181,1.0,11,0,0,11,
3, PrimitiveReturns,40, "sum", "0",CREATED,0.5,3,true,40,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
4, ConditionalsBoundary,33, "M > 0", "M >= 0",CREATED,0.5,4,true,33,1,1.0,8,0.41666666666666663,1.0,11,0,0,11,
5, Math,23, "y % 2", "y * 2",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
6, Math,24, "x * calculatePower(x，y - 1)", "x / calculatePower(x，y - 1)",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
7, Math,24, "y - 1", "y + 1",CREATED,0.5,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
8, Math,26, "x * x", "x / x",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, Math,26, "y / 2", "y * 2",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
10, Math,34, "M & 1", "M | 1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
11, Math,37, "power * power", "power / power",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
12, Math,38, "M >> 1", "M << 1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
13, PrimitiveAssignment,31, "N", "0",CREATED,0.5,13,true,31,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
14, PrimitiveAssignment,37, "power * power", "0",CREATED,0.5,14,true,37,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
15, PrimitiveAssignment,38, "M >> 1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
16, NegateConditionals,20, "y == 0", "y != 0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
17, NegateConditionals,23, "y % 2 == 1", "y % 2 != 1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
18, NegateConditionals,33, "M > 0", "M <= 0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
19, NegateConditionals,34, "(M & 1) == 1", "(M & 1) != 1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
20, CompoundOperator,35, "sum*=power", "sum/=power",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
21, ChangeNumericLiteral,20, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
22, ChangeNumericLiteral,23, "2", "3",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
23, ChangeNumericLiteral,23, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
24, ChangeNumericLiteral,24, "1", "0",CREATED,0.5,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
25, ChangeNumericLiteral,26, "2", "3",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
26, ChangeNumericLiteral,32, "1", "0",CREATED,0.5,26,true,32,1,1.0,9,0.3846153846153846,1.0,11,0,0,11,
27, ChangeNumericLiteral,33, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
28, ChangeNumericLiteral,34, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
29, ChangeNumericLiteral,34, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
30, ChangeNumericLiteral,38, "1", "0",CREATED,0.5,30,true,38,1,1.0,7,0.4545454545454546,1.0,11,0,0,11,
