FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/BinaryToDecimal.java,13,13,NaN,0,6,0,3,
src/main/java/example/BinaryToDecimal.java,14,14,NaN,0,6,0,3,
src/main/java/example/BinaryToDecimal.java,15,15,0.816496580927726,6,0,3,0,
src/main/java/example/BinaryToDecimal.java,16,16,0.816496580927726,6,0,3,0,
src/main/java/example/BinaryToDecimal.java,17,17,0.816496580927726,6,0,3,0,
src/main/java/example/BinaryToDecimal.java,18,18,0.816496580927726,6,0,3,0,
src/main/java/example/BinaryToDecimal.java,19,19,0.8660254037844387,6,0,2,1,
src/main/java/example/BinaryToDecimal.java,20,20,0.8660254037844387,6,0,2,1,
src/main/java/example/BinaryToDecimal.java,21,21,0.8660254037844387,6,0,2,1,
src/main/java/example/BinaryToDecimal.java,18,22,0.816496580927726,6,0,3,0,
src/main/java/example/BinaryToDecimal.java,23,23,0.816496580927726,6,0,3,0,
src/main/java/example/BinaryToDecimal.java,32,32,NaN,0,6,0,3,
src/main/java/example/BinaryToDecimal.java,33,33,NaN,0,6,0,3,
src/main/java/example/BinaryToDecimal.java,34,34,NaN,0,6,0,3,
src/main/java/example/BinaryToDecimal.java,35,35,NaN,0,6,0,3,
