mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
7,false,4,4,0.7857142857142857,5,0.7142857142857143,0.4472135954999579,3,0,12,0,
7,false,5,4,0.7857142857142857,5,0.7142857142857143,0.4472135954999579,3,0,12,0,
7,false,6,10,0.3571428571428571,15,0.0,0.0,0,3,5,7,
7,false,8,3,0.8571428571428572,3,0.8571428571428572,0.5477225575051661,3,0,7,5,
7,true,9,1,1.0,1,1.0,0.6666666666666666,2,1,1,11,
7,false,11,9,0.4285714285714286,9,0.4285714285714286,0.2182178902359924,1,2,6,6,
7,false,12,10,0.3571428571428571,15,0.0,0.0,0,3,3,9,
7,false,14,7,0.5714285714285714,8,0.5,0.2886751345948129,1,2,3,9,
7,false,15,10,0.3571428571428571,15,0.0,0.0,0,3,3,9,
7,false,17,6,0.6428571428571428,6,0.6428571428571428,0.3086066999241838,2,1,12,0,
7,false,21,10,0.3571428571428571,15,0.0,0.0,0,3,5,7,
7,false,27,10,0.3571428571428571,15,0.0,0.0,0,3,3,9,
7,false,30,7,0.5714285714285714,8,0.5,0.2886751345948129,1,2,3,9,
7,false,31,2,0.9285714285714286,2,0.9285714285714286,0.5773502691896258,1,2,0,12,
7,false,33,10,0.3571428571428571,15,0.0,0.0,0,3,3,9,
