mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, PrimitiveReturns,17, "result", "0",CREATED,0.26666666666666666,1,true,17,3,0.8666666666666667,3,0.8666666666666667,0.8058229640253802,10,1,4,0,
2, PrimitiveReturns,21, "a + b", "0",CREATED,0.6666666666666666,2,true,21,1,1.0,2,0.9333333333333333,0.8,4,1,1,9,
3, PrimitiveReturns,24, "a - b", "0",CREATED,0.8,3,true,24,1,1.0,2,0.9333333333333333,0.6666666666666666,2,1,1,11,
4, PrimitiveReturns,27, "a * b", "0",CREATED,0.8,4,true,27,1,1.0,2,0.9333333333333333,0.6666666666666666,2,1,1,11,
5, PrimitiveReturns,33, "a / b", "0",CREATED,0.8,5,true,33,3,0.8666666666666667,4,0.8,0.6666666666666666,2,1,1,11,
6, PrimitiveAssignment,6, "sum(a，b)", "0",CREATED,0.6666666666666666,6,true,6,1,1.0,1,1.0,0.8,4,1,1,9,
7, PrimitiveAssignment,9, "difference(a，b)", "0",CREATED,0.8,7,true,9,1,1.0,1,1.0,0.6666666666666666,2,1,1,11,
8, PrimitiveAssignment,12, "product(a，b)", "0",CREATED,0.8,8,true,12,1,1.0,1,1.0,0.6666666666666666,2,1,1,11,
9, PrimitiveAssignment,15, "quotient(a，b)", "0",CREATED,0.8,9,true,15,1,1.0,2,0.9166666666666666,0.8660254037844387,3,0,1,11,
10, NegateConditionals,5, "c == '+'", "c != '+'",CREATED,0.13333333333333333,10,true,5,1,1.0,3,0.7142857142857143,0.9309493362512627,13,0,2,0,
11, NegateConditionals,8, "c == '-'", "c != '-'",CREATED,0.4,11,true,8,1,1.0,1,1.0,0.9486832980505138,9,0,1,5,
12, NegateConditionals,11, "c == '*'", "c != '*'",CREATED,0.6666666666666666,12,true,11,1,1.0,1,1.0,0.8451542547285166,5,0,2,8,
13, NegateConditionals,14, "c == '/'", "c != '/'",CREATED,0.8,13,true,14,1,1.0,1,1.0,0.8660254037844387,3,0,1,11,
14, NegateConditionals,30, "b == 0", "b != 0",CREATED,0.7333333333333333,14,true,30,2,0.9230769230769231,3,0.8461538461538461,0.8660254037844387,3,1,0,11,
15, Math,21, "a + b", "a - b",CREATED,0.6666666666666666,15,true,21,1,1.0,2,0.9333333333333333,0.8,4,1,1,9,
16, Math,24, "a - b", "a + b",CREATED,0.8,16,true,24,1,1.0,2,0.9333333333333333,0.6666666666666666,2,1,1,11,
17, Math,27, "a * b", "a / b",CREATED,0.7333333333333333,17,true,27,2,0.9333333333333333,3,0.8666666666666667,0.7071067811865475,2,2,0,11,
18, Math,33, "a / b", "a * b",CREATED,0.8,18,true,33,3,0.8666666666666667,4,0.8,0.6666666666666666,2,1,1,11,
19, ChangeNumericLiteral,4, "0", "1",CREATED,0.9333333333333333,19,true,4,6,0.6666666666666667,7,0.6,0.2581988897471611,1,0,14,0,
20, ChangeNumericLiteral,30, "0", "1",CREATED,0.9333333333333333,20,true,30,6,0.6428571428571428,15,0.0,0.0,0,1,3,11,
21, ChangeStringLiteral,31, ""Division by zero"", ""Division by zero1"",CREATED,0.9333333333333333,21,true,31,1,1.0,1,1.0,1.0,1,0,0,14,
