FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/CatalanNumber.java,28,28,1.0,2,0,0,0,
src/main/java/example/CatalanNumber.java,31,31,1.0,2,0,0,0,
src/main/java/example/CatalanNumber.java,32,32,1.0,2,0,0,0,
src/main/java/example/CatalanNumber.java,38,38,1.0,2,0,0,0,
src/main/java/example/CatalanNumber.java,39,39,1.0,2,0,0,0,
src/main/java/example/CatalanNumber.java,40,40,1.0,2,0,0,0,
src/main/java/example/CatalanNumber.java,41,41,NaN,0,2,0,0,
src/main/java/example/CatalanNumber.java,38,43,1.0,2,0,0,0,
src/main/java/example/CatalanNumber.java,45,45,1.0,2,0,0,0,
src/main/java/example/CatalanNumber.java,50,50,NaN,0,2,0,0,
src/main/java/example/CatalanNumber.java,52,52,NaN,0,2,0,0,
src/main/java/example/CatalanNumber.java,53,53,NaN,0,2,0,0,
src/main/java/example/CatalanNumber.java,54,54,NaN,0,2,0,0,
src/main/java/example/CatalanNumber.java,56,56,NaN,0,2,0,0,
