mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, Math,28, "n + 1", "n - 1",CREATED,0.0,1,true,28,1,1.0,8,0.0,1.0,2,0,0,0,
2, Math,41, "catalanArray[j] * catalanArray[i - j - 1]", "catalanArray[j] / catalanArray[i - j - 1]",CREATED,0.0,2,true,41,1,1.0,9,0.0,1.0,2,0,0,0,
3, Math,41, "i - j - 1", "i + j + 1",CREATED,0.0,3,true,41,1,1.0,8,0.0,1.0,2,0,0,0,
4, Math,54, "n + "th Catalan number is " + findNthCatalan(n)", "n - "th Catalan number is " - findNthCatalan(n)",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
5, PrimitiveReturns,45, "catalanArray[n]", "0",CREATED,0.0,5,true,45,1,1.0,9,0.0,1.0,2,0,0,0,
6, ChangeNumericLiteral,28, "1", "0",CREATED,0.0,6,true,28,1,1.0,8,0.0,1.0,2,0,0,0,
7, ChangeNumericLiteral,31, "0", "1",CREATED,0.0,7,true,31,1,1.0,9,0.0,1.0,2,0,0,0,
8, ChangeNumericLiteral,31, "1", "0",CREATED,0.0,8,true,31,1,1.0,9,0.0,1.0,2,0,0,0,
9, ChangeNumericLiteral,32, "1", "0",CREATED,0.0,9,true,32,1,1.0,9,0.0,1.0,2,0,0,0,
10, ChangeNumericLiteral,32, "1", "0",CREATED,0.0,10,true,32,1,1.0,9,0.0,1.0,2,0,0,0,
11, ChangeNumericLiteral,38, "2", "3",CREATED,0.0,11,true,38,1,1.0,9,0.0,1.0,2,0,0,0,
12, ChangeNumericLiteral,39, "0", "1",CREATED,0.0,12,true,39,1,1.0,9,0.0,1.0,2,0,0,0,
13, ChangeNumericLiteral,40, "0", "1",CREATED,0.0,13,true,40,1,1.0,9,0.0,1.0,2,0,0,0,
14, ChangeNumericLiteral,41, "1", "0",CREATED,0.0,14,true,41,1,1.0,9,0.0,1.0,2,0,0,0,
15, EmptyAssignment,28, "new long[n + 1]", "new long[]{}",FAILED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
16, ConditionalsBoundary,38, "i <= n", "i < n",CREATED,0.0,16,true,38,1,1.0,9,0.0,1.0,2,0,0,0,
17, ConditionalsBoundary,40, "j < i", "j <= i",CREATED,0.0,17,true,40,1,1.0,8,0.0,1.0,2,0,0,0,
18, Increments,38, "i++", "i--",CREATED,0.0,18,true,38,1,1.0,8,0.0,1.0,2,0,0,0,
19, Increments,40, "j++", "j--",CREATED,0.0,19,true,40,1,1.0,8,0.0,1.0,2,0,0,0,
20, PrimitiveAssignment,53, "sc.nextInt()", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
21, CompoundOperator,41, "catalanArray[i]+=catalanArray[j] * catalanArray[i - j - 1]", "catalanArray[i]-=catalanArray[j] * catalanArray[i - j - 1]",CREATED,0.0,21,true,41,1,1.0,9,0.0,1.0,2,0,0,0,
22, NegateConditionals,38, "i <= n", "i > n",CREATED,0.0,22,true,38,1,1.0,6,0.0,1.0,2,0,0,0,
23, NegateConditionals,40, "j < i", "j >= i",CREATED,0.0,23,true,40,1,1.0,8,0.0,1.0,2,0,0,0,
24, ChangeStringLiteral,52, ""Enter the number n to find nth Catalan number (n <= 50)"", ""Enter the number n to find nth Catalan number (n <= 50)1"",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
25, ChangeStringLiteral,54, ""th Catalan number is "", ""th Catalan number is 1"",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
26, NullAssignment,50, "new Scanner(System.in)", "null",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
