mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
2,false,14,9,0.11111111111111116,9,0.11111111111111116,0.6324555320336759,2,0,3,0,
2,false,15,10,0.0,10,0.0,0.0,0,2,2,1,
2,false,17,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
2,false,18,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
2,false,22,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
2,false,22,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
2,false,23,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
2,true,24,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
2,false,26,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
2,false,29,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
