mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, PrimitiveAssignment,23, "curr + prev", "0",CREATED,0.4,1,true,23,1,1.0,8,0.2222222222222222,1.0,3,0,0,2,
2, PrimitiveAssignment,24, "curr", "0",CREATED,0.6,2,true,24,1,1.0,8,0.2222222222222222,0.8164965809277261,2,0,1,2,
3, PrimitiveAssignment,26, "next", "0",CREATED,0.4,3,true,26,1,1.0,8,0.2222222222222222,1.0,3,0,0,2,
4, MoreSpecificIfRight,14, "n == 1 || n == 0", "n == 0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
5, Math,23, "curr + prev", "curr - prev",CREATED,0.4,5,true,23,1,1.0,8,0.2222222222222222,1.0,3,0,0,2,
6, PrimitiveReturns,15, "n", "0",CREATED,0.8,6,true,15,1,1.0,1,1.0,0.7071067811865475,1,0,1,3,
7, PrimitiveReturns,29, "curr", "0",CREATED,0.4,7,true,29,1,1.0,8,0.2222222222222222,1.0,3,0,0,2,
8, ConditionalsBoundary,22, "i <= n", "i < n",CREATED,0.4,8,true,22,1,1.0,5,0.5555555555555556,1.0,3,0,0,2,
9, MoreSpecificIfOperator,14, "n == 1 || n == 0", "n == 1 && n == 0",CREATED,0.8,9,true,14,1,1.0,6,0.375,0.4472135954999579,1,0,4,0,
10, Increments,22, "i++", "i--",CREATED,0.4,10,true,22,1,1.0,8,0.2222222222222222,1.0,3,0,0,2,
11, NegateConditionals,14, "n == 1", "n != 1",CREATED,0.8,11,true,14,2,0.8333333333333334,2,0.8333333333333334,0.4472135954999579,1,0,4,0,
12, NegateConditionals,14, "n == 0", "n != 0",CREATED,0.6,12,true,14,6,0.16666666666666663,6,0.16666666666666663,0.6324555320336759,2,0,3,0,
13, NegateConditionals,22, "i <= n", "i > n",CREATED,0.4,13,true,22,1,1.0,5,0.33333333333333337,1.0,3,0,0,2,
14, ChangeNumericLiteral,14, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
15, ChangeNumericLiteral,14, "0", "1",CREATED,0.8,15,true,14,6,0.4444444444444444,6,0.4444444444444444,0.4472135954999579,1,0,4,0,
16, ChangeNumericLiteral,17, "1", "0",CREATED,0.4,16,true,17,1,1.0,8,0.2222222222222222,1.0,3,0,0,2,
17, ChangeNumericLiteral,18, "1", "0",CREATED,0.4,17,true,18,1,1.0,8,0.2222222222222222,1.0,3,0,0,2,
18, ChangeNumericLiteral,22, "2", "3",CREATED,0.4,18,true,22,1,1.0,5,0.5555555555555556,1.0,3,0,0,2,
19, MoreSpecificIfLeft,14, "n == 1 || n == 0", "n == 1",CREATED,0.8,19,true,14,6,0.4444444444444444,6,0.4444444444444444,0.4472135954999579,1,0,4,0,
