01, EmptyAssignment, 12, "new int[n + 1][m + 1]", "new int[][]{}"
02, PrimitiveReturns, 41, "eggFloor[n][m]", "0"
03, Increments, 16, "i++", "i--"
04, Increments, 22, "j++", "j--"
05, Increments, 27, "i++", "i--"
06, Increments, 28, "j++", "j--"
07, Increments, 30, "x++", "x--"
08, PrimitiveAssignment, 31, "1 + Math.max(eggFloor[i - 1][x - 1]，eggFloor[i][j - x])", "0"
09, PrimitiveAssignment, 48, "minTrials(n，m)", "0"
10, ConditionalsBoundary, 16, "i <= n", "i < n"
11, ConditionalsBoundary, 22, "j <= m", "j < m"
12, ConditionalsBoundary, 27, "i <= n", "i < n"
13, ConditionalsBoundary, 28, "j <= m", "j < m"
14, ConditionalsBoundary, 30, "x <= j", "x < j"
15, ConditionalsBoundary, 34, "result < eggFloor[i][j]", "result <= eggFloor[i][j]"
16, Math, 12, "n + 1", "n - 1"
17, Math, 12, "m + 1", "m - 1"
18, Math, 31, "1 + Math.max(eggFloor[i - 1][x - 1]，eggFloor[i][j - x])", "1 - Math.max(eggFloor[i - 1][x - 1]，eggFloor[i][j - x])"
19, Math, 31, "i - 1", "i + 1"
20, Math, 31, "x - 1", "x + 1"
21, Math, 31, "j - x", "j + x"
22, NegateConditionals, 16, "i <= n", "i > n"
23, NegateConditionals, 22, "j <= m", "j > m"
24, NegateConditionals, 27, "i <= n", "i > n"
25, NegateConditionals, 28, "j <= m", "j > m"
26, NegateConditionals, 30, "x <= j", "x > j"
27, NegateConditionals, 34, "result < eggFloor[i][j]", "result >= eggFloor[i][j]"
28, ChangeNumericLiteral, 12, "1", "0"
29, ChangeNumericLiteral, 12, "1", "0"
30, ChangeNumericLiteral, 16, "1", "0"
31, ChangeNumericLiteral, 17, "0", "1"
32, ChangeNumericLiteral, 17, "0", "1"
33, ChangeNumericLiteral, 18, "1", "0"
34, ChangeNumericLiteral, 18, "1", "0"
35, ChangeNumericLiteral, 22, "1", "0"
36, ChangeNumericLiteral, 23, "1", "0"
37, ChangeNumericLiteral, 27, "2", "3"
38, ChangeNumericLiteral, 28, "2", "3"
39, ChangeNumericLiteral, 30, "1", "0"
40, ChangeNumericLiteral, 31, "1", "0"
41, ChangeNumericLiteral, 31, "1", "0"
42, ChangeNumericLiteral, 31, "1", "0"
43, ChangeNumericLiteral, 45, "2", "3"
44, ChangeNumericLiteral, 46, "4", "5"
