FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/HighestSetBit.java,16,16,0.9486832980505138,18,0,2,0,
src/main/java/example/HighestSetBit.java,17,17,0.23570226039551587,1,17,0,2,
src/main/java/example/HighestSetBit.java,20,20,0.9192547197409877,17,1,2,0,
src/main/java/example/HighestSetBit.java,21,21,0.0,0,18,1,1,
src/main/java/example/HighestSetBit.java,24,24,0.9444444444444444,17,1,1,1,
src/main/java/example/HighestSetBit.java,25,25,0.9444444444444444,17,1,1,1,
src/main/java/example/HighestSetBit.java,26,26,NaN,0,18,0,2,
src/main/java/example/HighestSetBit.java,27,27,NaN,0,18,0,2,
src/main/java/example/HighestSetBit.java,25,28,0.9444444444444444,17,1,1,1,
src/main/java/example/HighestSetBit.java,30,30,0.9444444444444444,17,1,1,1,
