mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, CompoundOperator,26, "num>>=1", "num<<=1",CREATED,0.05,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
2, EmptyReturns,21, "Optional.empty()", "DELETED",CREATED,0.05,2,true,21,8,0.0,8,0.0,0.0,0,19,1,0,
3, EmptyReturns,30, "Optional.of(position - 1)", "DELETED",CREATED,0.05,3,true,30,2,0.8571428571428572,5,0.4285714285714286,0.9733285267845753,18,1,0,1,
4, NegateConditionals,16, "num < 0", "num >= 0",CREATED,0.0,4,true,16,1,1.0,1,1.0,1.0,20,0,0,0,
5, NegateConditionals,20, "num == 0", "num != 0",CREATED,0.0,5,true,20,2,0.8571428571428572,2,0.8571428571428572,0.9746794344808964,19,1,0,0,
6, NegateConditionals,25, "num < 0", "num >= 0",CREATED,0.05,6,true,25,2,0.875,6,0.375,0.9733285267845753,18,1,0,1,
7, ChangeStringLiteral,17, ""Input cannot be negative"", ""Input cannot be negative1"",CREATED,0.05,7,true,17,7,0.1428571428571429,7,0.1428571428571429,0.22941573387056174,1,18,0,1,
8, Increments,27, "position++", "position--",CREATED,0.05,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, ChangeNumericLiteral,16, "0", "1",CREATED,0.0,9,true,16,1,1.0,1,1.0,1.0,20,0,0,0,
10, ChangeNumericLiteral,20, "0", "1",CREATED,0.0,10,true,20,2,0.8571428571428572,2,0.8571428571428572,0.9746794344808964,19,1,0,0,
11, ChangeNumericLiteral,24, "0", "1",CREATED,0.1,11,true,24,2,0.8571428571428572,5,0.4285714285714286,0.9444444444444444,17,1,1,1,
12, ChangeNumericLiteral,25, "0", "1",CREATED,0.05,12,true,25,2,0.8571428571428572,5,0.4285714285714286,0.9733285267845753,18,1,0,1,
13, ChangeNumericLiteral,26, "1", "0",CREATED,0.05,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
14, ChangeNumericLiteral,30, "1", "0",CREATED,0.1,14,true,30,2,0.8571428571428572,5,0.4285714285714286,0.9444444444444444,17,1,1,1,
15, ConditionalsBoundary,16, "num < 0", "num <= 0",CREATED,0.0,15,true,16,1,1.0,1,1.0,1.0,20,0,0,0,
16, ConditionalsBoundary,25, "num < 0", "num <= 0",CREATED,0.05,16,true,25,2,0.8571428571428572,5,0.4285714285714286,0.9733285267845753,18,1,0,1,
17, Math,30, "position - 1", "position + 1",CREATED,0.15,17,true,30,2,0.8571428571428572,5,0.4285714285714286,0.9146591207600472,16,1,2,1,
