mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
20,false,12,10,0.18181818181818177,10,0.18181818181818177,0.5773502691896258,1,0,2,0,
20,false,13,11,0.09090909090909094,12,0.0,0.0,0,1,1,1,
20,false,17,3,0.8181818181818181,9,0.2727272727272727,0.7071067811865475,1,0,1,1,
20,false,17,3,0.8181818181818181,9,0.2727272727272727,0.7071067811865475,1,0,1,1,
20,true,18,1,1.0,2,0.9090909090909091,1.0,1,0,0,2,
20,false,19,1,1.0,2,0.9090909090909091,1.0,1,0,0,2,
20,false,22,3,0.8181818181818181,9,0.2727272727272727,0.7071067811865475,1,0,1,1,
20,false,23,3,0.8181818181818181,9,0.2727272727272727,0.7071067811865475,1,0,1,1,
20,false,23,3,0.8181818181818181,9,0.2727272727272727,0.7071067811865475,1,0,1,1,
20,false,24,3,0.8181818181818181,9,0.2727272727272727,0.7071067811865475,1,0,1,1,
20,false,25,3,0.8181818181818181,9,0.2727272727272727,0.7071067811865475,1,0,1,1,
20,false,28,11,0.09090909090909094,12,0.0,0.0,0,1,1,1,
