mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, InvertNegatives,13, "-1", "1",CREATED,0.6666666666666666,1,true,13,1,1.0,1,1.0,1.0,1,0,0,2,
2, InvertNegatives,18, "-n", "n",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
3, ChangeNumericLiteral,12, "0", "1",CREATED,0.6666666666666666,3,true,12,1,1.0,8,0.30000000000000004,0.5773502691896258,1,0,2,0,
4, ChangeNumericLiteral,13, "1", "0",CREATED,0.6666666666666666,4,true,13,1,1.0,1,1.0,1.0,1,0,0,2,
5, ChangeNumericLiteral,17, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
6, ChangeNumericLiteral,19, "1", "0",CREATED,0.6666666666666666,6,true,19,1,1.0,2,0.9090909090909091,1.0,1,0,0,2,
7, ChangeNumericLiteral,22, "0", "1",CREATED,0.3333333333333333,7,true,22,1,1.0,8,0.36363636363636365,1.0,2,0,0,1,
8, ChangeNumericLiteral,23, "1", "0",CREATED,0.3333333333333333,8,true,23,1,1.0,7,0.4,1.0,2,0,0,1,
9, ChangeNumericLiteral,23, "0", "1",CREATED,0.3333333333333333,9,true,23,1,1.0,6,0.4444444444444444,1.0,2,0,0,1,
10, ChangeNumericLiteral,24, "1", "0",CREATED,0.3333333333333333,10,true,24,1,1.0,7,0.4,1.0,2,0,0,1,
11, Math,19, "n & (~n + 1)", "n | (~n + 1)",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
12, Math,19, "~n + 1", "~n - 1",CREATED,0.6666666666666666,12,true,19,1,1.0,2,0.9090909090909091,1.0,1,0,0,2,
13, Math,23, "n & 1", "n | 1",CREATED,0.3333333333333333,13,true,23,1,1.0,6,0.4444444444444444,1.0,2,0,0,1,
14, Math,24, "n >> 1", "n << 1",CREATED,0.3333333333333333,14,true,24,1,1.0,7,0.4,1.0,2,0,0,1,
15, NegateConditionals,12, "n == 0", "n != 0",CREATED,0.0,15,true,12,1,1.0,1,1.0,1.0,3,0,0,0,
16, NegateConditionals,17, "n < 0", "n >= 0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
17, NegateConditionals,23, "(n & 1) == 0", "(n & 1) != 0",CREATED,0.3333333333333333,17,true,23,1,1.0,6,0.4444444444444444,1.0,2,0,0,1,
18, ChangeUnaryOperator,19, "~n", "n",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
19, Increments,25, "index++", "index--",CREATED,0.3333333333333333,19,true,25,1,1.0,8,0.36363636363636365,1.0,2,0,0,1,
20, PrimitiveAssignment,18, "-n", "0",CREATED,0.6666666666666666,20,true,18,1,1.0,2,0.9090909090909091,1.0,1,0,0,2,
21, PrimitiveAssignment,19, "n & (~n + 1)", "0",CREATED,0.6666666666666666,21,true,19,1,1.0,2,0.9090909090909091,1.0,1,0,0,2,
22, PrimitiveAssignment,24, "n >> 1", "0",CREATED,0.3333333333333333,22,true,24,1,1.0,7,0.4,1.0,2,0,0,1,
23, PrimitiveReturns,13, "-1", "0",CREATED,0.6666666666666666,23,true,13,1,1.0,1,1.0,1.0,1,0,0,2,
24, PrimitiveReturns,28, "index", "0",CREATED,0.3333333333333333,24,true,28,1,1.0,8,0.36363636363636365,1.0,2,0,0,1,
25, ConditionalsBoundary,17, "n < 0", "n <= 0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
