mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, LessSpecificIfLeft,32, "i < n && pat.charAt(j) != txt.charAt(i)", "i < n",CREATED,0.0,1,true,32,1,1.0,26,0.19354838709677424,1.0,5,0,0,0,
2, Increments,21, "j++", "j--",CREATED,0.0,2,true,21,1,1.0,21,0.16666666666666663,1.0,5,0,0,0,
3, Increments,22, "i++", "i--",CREATED,0.0,3,true,22,1,1.0,21,0.16666666666666663,1.0,5,0,0,0,
4, Increments,54, "len++", "len--",CREATED,0.0,4,true,54,1,1.0,13,0.19999999999999996,1.0,5,0,0,0,
5, Increments,56, "i++", "i--",CREATED,0.0,5,true,56,1,1.0,13,0.19999999999999996,1.0,5,0,0,0,
6, Increments,67, "i++", "i--",CREATED,0.2,6,true,67,27,0.16129032258064513,29,0.09677419354838712,0.5,1,3,0,1,
7, PrimitiveReturns,29, "index", "0",CREATED,0.2,7,true,29,31,0.0625,33,0.0,0.0,0,4,1,0,
8, PrimitiveReturns,42, "-1", "0",CREATED,0.2,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, EmptyAssignment,11, "new int[m]", "new int[]{}",CREATED,0.0,9,true,11,1,1.0,4,0.0,1.0,5,0,0,0,
10, Math,19, "n - i", "n + i",CREATED,0.2,10,true,19,1,1.0,24,0.28125,0.8944271909999159,4,0,1,0,
11, Math,19, "m - j", "m + j",CREATED,0.4,11,true,19,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
12, Math,27, "i - j", "i + j",CREATED,0.0,12,true,27,27,0.1875,33,0.0,0.4472135954999579,1,4,0,0,
13, Math,28, "j - 1", "j + 1",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
14, Math,36, "j + 1", "j - 1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
15, Math,38, "i + 1", "i - 1",CREATED,0.2,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
16, Math,62, "len - 1", "len + 1",CREATED,0.2,16,true,62,25,0.25,30,0.09375,0.5,1,3,0,1,
