FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/MColoring.java,23,23,1.0,3,0,0,0,
src/main/java/example/MColoring.java,24,24,1.0,3,0,0,0,
src/main/java/example/MColoring.java,25,25,1.0,3,0,0,0,
src/main/java/example/MColoring.java,30,30,1.0,3,0,0,0,
src/main/java/example/MColoring.java,32,32,1.0,3,0,0,0,
src/main/java/example/MColoring.java,33,33,1.0,3,0,0,0,
src/main/java/example/MColoring.java,34,34,NaN,0,3,0,0,
src/main/java/example/MColoring.java,32,72,1.0,3,0,0,0,
src/main/java/example/MColoring.java,39,39,1.0,3,0,0,0,
src/main/java/example/MColoring.java,40,40,1.0,3,0,0,0,
src/main/java/example/MColoring.java,41,41,1.0,3,0,0,0,
src/main/java/example/MColoring.java,44,44,1.0,3,0,0,0,
src/main/java/example/MColoring.java,45,45,1.0,3,0,0,0,
src/main/java/example/MColoring.java,46,46,1.0,3,0,0,0,
src/main/java/example/MColoring.java,44,71,1.0,3,0,0,0,
src/main/java/example/MColoring.java,50,70,1.0,3,0,0,0,
src/main/java/example/MColoring.java,55,55,1.0,3,0,0,0,
src/main/java/example/MColoring.java,56,56,1.0,3,0,0,0,
src/main/java/example/MColoring.java,61,61,0.8164965809277261,2,1,0,0,
src/main/java/example/MColoring.java,62,62,0.8164965809277261,2,1,0,0,
src/main/java/example/MColoring.java,66,66,0.8164965809277261,2,1,0,0,
src/main/java/example/MColoring.java,67,67,0.8164965809277261,2,1,0,0,
src/main/java/example/MColoring.java,68,68,0.8164965809277261,2,1,0,0,
src/main/java/example/MColoring.java,66,69,0.8164965809277261,2,1,0,0,
src/main/java/example/MColoring.java,73,73,NaN,0,3,0,0,
