mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, NullAssignment,40, "new LinkedList<>()", "null",CREATED,0.0,1,true,40,1,1.0,9,0.0,1.0,3,0,0,0,
2, EmptyAssignment,14, "new HashSet<Integer>()", "Collections.emptySet()",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
3, EmptyAssignment,23, "new ArrayList<Integer>()", "Collections.emptyList()",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
4, Increments,24, "i++", "i--",CREATED,0.0,4,true,24,1,1.0,3,0.0,1.0,3,0,0,0,
5, Increments,32, "sv++", "sv--",CREATED,0.6666666666666666,5,true,32,1,1.0,23,0.0,0.5773502691896258,1,0,2,0,
6, CompoundOperator,56, "nodes.get(it).color+=1", "nodes.get(it).color-=1",CREATED,0.3333333333333333,6,true,56,1,1.0,25,0.0,0.8164965809277261,2,0,1,0,
7, ConditionalsBoundary,24, "i < n + 1", "i <= n + 1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
8, ConditionalsBoundary,32, "sv <= n", "sv < n",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, ConditionalsBoundary,33, "visited.get(sv) > 0", "visited.get(sv) >= 0",CREATED,0.3333333333333333,9,true,33,1,1.0,9,0.0,0.8164965809277261,2,0,1,0,
10, ConditionalsBoundary,62, "maxColors > m", "maxColors >= m",CREATED,0.6666666666666666,10,true,62,5,0.8181818181818181,23,0.0,0.5773502691896258,1,0,2,0,
11, ChangeNumericLiteral,13, "1", "0",CREATED,0.3333333333333333,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
12, ChangeNumericLiteral,24, "0", "1",CREATED,0.3333333333333333,12,true,24,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
13, ChangeNumericLiteral,24, "1", "0",CREATED,0.3333333333333333,13,true,24,1,1.0,23,0.0,0.8164965809277261,2,0,1,0,
14, ChangeNumericLiteral,25, "0", "1",CREATED,0.3333333333333333,14,true,25,1,1.0,9,0.0,0.8164965809277261,2,0,1,0,
15, ChangeNumericLiteral,30, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
16, ChangeNumericLiteral,32, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
17, ChangeNumericLiteral,33, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
18, ChangeNumericLiteral,39, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
19, ChangeNumericLiteral,44, "0", "1",CREATED,0.3333333333333333,19,true,44,1,1.0,13,0.0,0.8164965809277261,2,0,1,0,
20, ChangeNumericLiteral,56, "1", "0",CREATED,0.3333333333333333,20,true,56,1,1.0,25,0.0,0.8164965809277261,2,0,1,0,
21, ChangeNumericLiteral,66, "0", "1",CREATED,0.6666666666666666,21,true,66,1,1.0,23,0.0,0.5773502691896258,1,0,2,0,
22, ChangeNumericLiteral,67, "1", "0",CREATED,0.6666666666666666,22,true,67,1,1.0,23,0.0,0.5773502691896258,1,0,2,0,
23, PrimitiveAssignment,45, "q.peek()", "0",CREATED,0.3333333333333333,23,true,45,1,1.0,16,0.0,0.8164965809277261,2,0,1,0,
24, PrimitiveAssignment,61, "Math.max(maxColors，Math.max(nodes.get(top).color，nodes.get(it).color))", "0",CREATED,0.3333333333333333,24,true,61,1,1.0,25,0.0,0.8164965809277261,2,0,1,0,
25, Math,24, "n + 1", "n - 1",CREATED,0.0,25,true,24,1,1.0,17,0.2727272727272727,1.0,3,0,0,0,
26, NegateConditionals,24, "i < n + 1", "i >= n + 1",CREATED,0.0,26,true,24,1,1.0,5,0.0,1.0,3,0,0,0,
27, NegateConditionals,32, "sv <= n", "sv > n",CREATED,0.3333333333333333,27,true,32,1,1.0,7,0.0,0.8164965809277261,2,0,1,0,
28, NegateConditionals,33, "visited.get(sv) > 0", "visited.get(sv) <= 0",CREATED,0.3333333333333333,28,true,33,1,1.0,9,0.0,0.8164965809277261,2,0,1,0,
29, NegateConditionals,44, "q.size() != 0", "q.size() == 0",CREATED,0.3333333333333333,29,true,44,1,1.0,13,0.0,0.8164965809277261,2,0,1,0,
30, NegateConditionals,55, "nodes.get(top).color == nodes.get(it).color", "nodes.get(top).color != nodes.get(it).color",CREATED,0.3333333333333333,30,true,55,1,1.0,24,0.0,0.8164965809277261,2,0,1,0,
31, NegateConditionals,62, "maxColors > m", "maxColors <= m",CREATED,0.6666666666666666,31,true,62,1,1.0,19,0.0,0.5773502691896258,1,0,2,0,
32, NegateConditionals,66, "visited.get(it) == 0", "visited.get(it) != 0",CREATED,0.6666666666666666,32,true,66,1,1.0,23,0.0,0.5773502691896258,1,0,2,0,
