FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/MinimumPathSum.java,34,34,0.3779644730092272,1,0,6,0,
src/main/java/example/MinimumPathSum.java,35,35,0.3779644730092272,1,0,6,0,
src/main/java/example/MinimumPathSum.java,37,37,0.3779644730092272,1,0,6,0,
src/main/java/example/MinimumPathSum.java,38,38,0.0,0,1,1,5,
src/main/java/example/MinimumPathSum.java,41,41,0.4082482904638631,1,0,5,1,
src/main/java/example/MinimumPathSum.java,44,44,0.4082482904638631,1,0,5,1,
src/main/java/example/MinimumPathSum.java,47,47,0.4082482904638631,1,0,5,1,
src/main/java/example/MinimumPathSum.java,48,48,0.5,1,0,3,3,
src/main/java/example/MinimumPathSum.java,52,52,0.4082482904638631,1,0,5,1,
src/main/java/example/MinimumPathSum.java,52,60,0.4082482904638631,1,0,5,1,
src/main/java/example/MinimumPathSum.java,54,54,0.5,1,0,3,3,
src/main/java/example/MinimumPathSum.java,56,56,0.5,1,0,3,3,
src/main/java/example/MinimumPathSum.java,58,58,0.5773502691896258,1,0,2,4,
src/main/java/example/MinimumPathSum.java,63,63,0.4082482904638631,1,0,5,1,
