mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
25,false,34,4,0.75,6,0.5833333333333333,0.9258200997725514,6,0,1,0,
25,false,35,4,0.75,6,0.5833333333333333,0.9258200997725514,6,0,1,0,
25,false,37,4,0.75,6,0.5833333333333333,0.9258200997725514,6,0,1,0,
25,false,38,13,0.0,13,0.0,0.0,0,6,1,0,
25,false,41,1,1.0,3,0.8333333333333334,1.0,6,0,0,1,
25,false,44,1,1.0,3,0.8333333333333334,1.0,6,0,0,1,
25,true,47,1,1.0,3,0.8333333333333334,1.0,6,0,0,1,
25,false,52,7,0.5,9,0.33333333333333337,0.8164965809277261,4,2,0,1,
25,false,52,7,0.5,9,0.33333333333333337,0.8164965809277261,4,2,0,1,
25,false,54,10,0.25,12,0.08333333333333337,0.7071067811865476,3,3,0,1,
25,false,56,10,0.25,12,0.08333333333333337,0.7071067811865476,3,3,0,1,
25,false,58,10,0.25,12,0.08333333333333337,0.7071067811865476,3,3,0,1,
25,false,63,7,0.5,9,0.33333333333333337,0.8164965809277261,4,2,0,1,
