mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, ConditionalsBoundary,47, "col < numCols", "col <= numCols",CREATED,0.14285714285714285,1,true,47,1,1.0,3,0.7142857142857143,1.0,6,0,0,1,
2, ConditionalsBoundary,52, "row < numRows", "row <= numRows",CREATED,0.14285714285714285,2,true,52,1,1.0,5,0.6666666666666667,1.0,6,0,0,1,
3, ConditionalsBoundary,56, "col < numCols", "col <= numCols",CREATED,0.42857142857142855,3,true,56,1,1.0,2,0.9230769230769231,1.0,4,0,0,3,
4, CompoundOperator,54, "dp[0]+=grid[row][0]", "dp[0]-=grid[row][0]",CREATED,0.42857142857142855,4,true,54,1,1.0,2,0.9230769230769231,1.0,4,0,0,3,
5, Increments,47, "col++", "col--",CREATED,0.42857142857142855,5,true,47,2,0.9166666666666666,4,0.75,0.8164965809277261,4,0,2,1,
6, Increments,52, "row++", "row--",CREATED,0.42857142857142855,6,true,52,4,0.7692307692307692,8,0.46153846153846156,0.8164965809277261,4,0,2,1,
7, Increments,56, "col++", "col--",CREATED,0.5714285714285714,7,true,56,2,0.9230769230769231,4,0.7692307692307692,0.8660254037844387,3,0,1,3,
8, EmptyAssignment,41, "new int[numCols]", "new int[]{}",FAILED,0.14285714285714285,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, PrimitiveReturns,63, "dp[numCols - 1]", "0",CREATED,0.14285714285714285,9,true,63,1,1.0,6,0.6153846153846154,1.0,6,0,0,1,
10, ChangeNumericLiteral,35, "0", "1",FAILED,0.5714285714285714,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
11, ChangeNumericLiteral,37, "0", "1",CREATED,0.5714285714285714,11,true,37,2,0.9230769230769231,4,0.7692307692307692,0.47140452079103173,2,1,4,0,
12, ChangeNumericLiteral,44, "0", "1",CREATED,0.14285714285714285,12,true,44,1,1.0,7,0.5384615384615384,0.8164965809277261,4,2,0,1,
13, ChangeNumericLiteral,44, "0", "1",CREATED,0.2857142857142857,13,true,44,1,1.0,8,0.46153846153846156,0.6708203932499369,3,2,1,1,
14, ChangeNumericLiteral,44, "0", "1",CREATED,0.14285714285714285,14,true,44,1,1.0,7,0.5384615384615384,0.8164965809277261,4,2,0,1,
15, ChangeNumericLiteral,47, "1", "0",CREATED,0.14285714285714285,15,true,47,1,1.0,3,0.6666666666666667,1.0,6,0,0,1,
16, ChangeNumericLiteral,48, "1", "0",CREATED,0.42857142857142855,16,true,48,1,1.0,1,1.0,1.0,4,0,0,3,
17, ChangeNumericLiteral,48, "0", "1",CREATED,0.5714285714285714,17,true,48,4,0.7692307692307692,5,0.6923076923076923,0.6666666666666666,2,1,1,3,
18, ChangeNumericLiteral,52, "1", "0",CREATED,0.14285714285714285,18,true,52,1,1.0,8,0.46153846153846156,1.0,6,0,0,1,
19, ChangeNumericLiteral,54, "0", "1",CREATED,0.5714285714285714,19,true,54,6,0.6153846153846154,8,0.46153846153846156,0.6666666666666666,2,1,1,3,
20, ChangeNumericLiteral,54, "0", "1",CREATED,0.7142857142857143,20,true,54,9,0.3846153846153846,11,0.23076923076923073,0.4082482904638631,1,1,2,3,
21, ChangeNumericLiteral,56, "1", "0",CREATED,0.42857142857142855,21,true,56,1,1.0,2,0.9166666666666666,1.0,4,0,0,3,
22, ChangeNumericLiteral,58, "1", "0",CREATED,0.8571428571428571,22,true,58,1,1.0,1,1.0,0.5773502691896258,1,0,2,4,
23, ChangeNumericLiteral,63, "1", "0",CREATED,0.14285714285714285,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
24, NegateConditionals,37, "numCols == 0", "numCols != 0",CREATED,0.0,24,true,37,1,1.0,4,0.0,0.9258200997725514,6,1,0,0,
25, NegateConditionals,47, "col < numCols", "col >= numCols",CREATED,0.14285714285714285,25,true,47,1,1.0,3,0.8333333333333334,1.0,6,0,0,1,
26, NegateConditionals,52, "row < numRows", "row >= numRows",CREATED,0.14285714285714285,26,true,52,1,1.0,5,0.6,1.0,6,0,0,1,
27, NegateConditionals,56, "col < numCols", "col >= numCols",CREATED,0.42857142857142855,27,true,56,1,1.0,2,0.9166666666666666,1.0,4,0,0,3,
28, PrimitiveAssignment,34, "grid.length", "0",CREATED,0.42857142857142855,28,true,34,7,0.4,9,0.19999999999999996,0.7559289460184544,4,0,3,0,
29, PrimitiveAssignment,35, "grid[0].length", "0",CREATED,0.14285714285714285,29,true,35,1,1.0,4,0.0,0.9258200997725514,6,0,1,0,
30, Math,48, "dp[col - 1] + grid[0][col]", "dp[col - 1] - grid[0][col]",CREATED,0.42857142857142855,30,true,48,1,1.0,1,1.0,1.0,4,0,0,3,
31, Math,48, "col - 1", "col + 1",CREATED,0.42857142857142855,31,true,48,1,1.0,1,1.0,1.0,4,0,0,3,
32, Math,58, "Math.min(dp[col - 1]，dp[col]) + grid[row][col]", "Math.min(dp[col - 1]，dp[col]) - grid[row][col]",CREATED,0.5714285714285714,32,true,58,1,1.0,1,1.0,1.0,3,0,0,4,
33, Math,58, "col - 1", "col + 1",CREATED,0.5714285714285714,33,true,58,1,1.0,1,1.0,1.0,3,0,0,4,
34, Math,63, "numCols - 1", "numCols + 1",CREATED,0.14285714285714285,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
