mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, Math,17, "octalNumber % 10", "octalNumber * 10",CREATED,0.0,1,true,17,1,1.0,19,0.0,1.0,4,0,0,0,
2, Math,20, "binaryDigit * digitPosition", "binaryDigit / digitPosition",CREATED,0.5,2,true,20,1,1.0,19,0.0,0.7071067811865475,2,0,2,0,
3, Math,34, "octalDigit % 2", "octalDigit * 2",CREATED,0.0,3,true,34,1,1.0,19,0.0,1.0,4,0,0,0,
4, Math,35, "octalDigitRemainder * binaryMultiplier", "octalDigitRemainder / binaryMultiplier",CREATED,0.25,4,true,35,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
5, CompoundOperator,20, "binaryNumber+=binaryDigit * digitPosition", "binaryNumber-=binaryDigit * digitPosition",CREATED,0.0,5,true,20,1,1.0,19,0.0,1.0,4,0,0,0,
6, CompoundOperator,22, "octalNumber/=10", "octalNumber*=10",CREATED,0.0,6,true,22,1,1.0,19,0.0,1.0,4,0,0,0,
7, CompoundOperator,23, "digitPosition*=1000", "digitPosition/=1000",CREATED,0.5,7,true,23,1,1.0,19,0.0,0.7071067811865475,2,0,2,0,
8, CompoundOperator,35, "binaryDigit+=octalDigitRemainder * binaryMultiplier", "binaryDigit-=octalDigitRemainder * binaryMultiplier",CREATED,0.0,8,true,35,1,1.0,19,0.0,1.0,4,0,0,0,
9, CompoundOperator,37, "octalDigit/=2", "octalDigit*=2",CREATED,0.25,9,true,37,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
10, CompoundOperator,38, "binaryMultiplier*=10", "binaryMultiplier/=10",CREATED,0.25,10,true,38,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
11, PrimitiveReturns,26, "binaryNumber", "0",CREATED,0.0,11,true,26,1,1.0,19,0.0,1.0,4,0,0,0,
12, PrimitiveReturns,41, "binaryDigit", "0",CREATED,0.0,12,true,41,1,1.0,19,0.0,1.0,4,0,0,0,
13, ChangeNumericLiteral,13, "0", "1",CREATED,0.0,13,true,13,1,1.0,19,0.0,1.0,4,0,0,0,
14, ChangeNumericLiteral,14, "1", "0",CREATED,0.0,14,true,14,1,1.0,19,0.0,1.0,4,0,0,0,
15, ChangeNumericLiteral,16, "0", "1",CREATED,0.0,15,true,16,1,1.0,18,0.05555555555555558,1.0,4,0,0,0,
16, ChangeNumericLiteral,17, "10", "11",CREATED,0.5,16,true,17,1,1.0,19,0.0,0.7071067811865475,2,0,2,0,
17, ChangeNumericLiteral,22, "10", "11",CREATED,0.75,17,true,22,1,1.0,19,0.0,0.5,1,0,3,0,
18, ChangeNumericLiteral,23, "1000", "1001",CREATED,0.5,18,true,23,1,1.0,19,0.0,0.7071067811865475,2,0,2,0,
19, ChangeNumericLiteral,30, "0", "1",CREATED,0.0,19,true,30,1,1.0,19,0.0,1.0,4,0,0,0,
20, ChangeNumericLiteral,31, "1", "0",CREATED,0.0,20,true,31,1,1.0,19,0.0,1.0,4,0,0,0,
21, ChangeNumericLiteral,33, "0", "1",CREATED,0.0,21,true,33,1,1.0,15,0.2222222222222222,1.0,4,0,0,0,
22, ChangeNumericLiteral,34, "2", "3",CREATED,0.25,22,true,34,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
23, ChangeNumericLiteral,37, "2", "3",CREATED,0.25,23,true,37,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
24, ChangeNumericLiteral,38, "10", "11",CREATED,0.25,24,true,38,1,1.0,19,0.0,0.8660254037844387,3,0,1,0,
25, PrimitiveAssignment,17, "octalNumber % 10", "0",CREATED,0.0,25,true,17,1,1.0,15,0.0,1.0,4,0,0,0,
26, PrimitiveAssignment,18, "convertOctalDigitToBinary(octalDigit)", "0",CREATED,0.0,26,true,18,1,1.0,10,0.0,1.0,4,0,0,0,
27, PrimitiveAssignment,34, "octalDigit % 2", "0",CREATED,0.0,27,true,34,1,1.0,19,0.0,1.0,4,0,0,0,
28, NegateConditionals,16, "octalNumber != 0", "octalNumber == 0",CREATED,0.0,28,true,16,1,1.0,5,0.0,1.0,4,0,0,0,
29, NegateConditionals,33, "octalDigit != 0", "octalDigit == 0",CREATED,0.0,29,true,33,1,1.0,15,0.0,1.0,4,0,0,0,
