mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
16,false,15,7,0.33333333333333337,10,0.0,0.0,0,2,1,0,
16,false,16,7,0.33333333333333337,10,0.0,0.0,0,2,1,0,
16,false,22,5,0.5555555555555556,6,0.4444444444444444,0.8164965809277261,2,0,1,0,
16,false,22,5,0.5555555555555556,6,0.4444444444444444,0.8164965809277261,2,0,1,0,
16,false,23,7,0.33333333333333337,10,0.0,0.0,0,2,1,0,
16,false,24,7,0.33333333333333337,10,0.0,0.0,0,2,1,0,
16,false,27,1,1.0,4,0.6666666666666667,1.0,2,0,0,1,
16,false,27,1,1.0,4,0.6666666666666667,1.0,2,0,0,1,
16,false,28,1,1.0,4,0.6666666666666667,1.0,2,0,0,1,
16,true,43,1,1.0,4,0.6666666666666667,1.0,2,0,0,1,
