mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, Increments,23, "count++", "count--",CREATED,0.0,1,true,23,1,1.0,6,0.6153846153846154,1.0,3,0,0,0,
2, CompoundOperator,28, "sum+=power(i，X)", "sum-=power(i，X)",CREATED,0.3333333333333333,2,true,28,1,1.0,8,0.46153846153846156,1.0,2,0,0,1,
3, CompoundOperator,32, "sum-=power(i，X)", "sum+=power(i，X)",CREATED,0.6666666666666666,3,true,32,1,1.0,8,0.46153846153846156,0.7071067811865475,1,0,1,1,
4, ChangeNumericLiteral,11, "0", "1",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
5, ChangeNumericLiteral,12, "0", "1",CREATED,0.6666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
6, ChangeNumericLiteral,15, "1", "0",CREATED,0.3333333333333333,6,true,15,9,0.3846153846153846,14,0.0,0.8164965809277261,2,0,1,0,
7, ChangeNumericLiteral,29, "1", "0",CREATED,0.3333333333333333,7,true,29,1,1.0,8,0.46153846153846156,1.0,2,0,0,1,
8, ChangeNumericLiteral,37, "1", "0",CREATED,0.3333333333333333,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, Math,27, "sum + power(i，X)", "sum - power(i，X)",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
10, Math,29, "i + 1", "i - 1",CREATED,0.3333333333333333,10,true,29,8,0.41666666666666663,9,0.33333333333333337,0.7071067811865475,1,1,0,1,
11, Math,37, "i + 1", "i - 1",CREATED,0.3333333333333333,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
12, NegateConditionals,22, "sum == N", "sum != N",CREATED,0.3333333333333333,12,true,22,1,1.0,4,0.6666666666666667,0.8164965809277261,2,0,1,0,
13, NegateConditionals,27, "sum + power(i，X) <= N", "sum + power(i，X) > N",CREATED,0.3333333333333333,13,true,27,1,1.0,5,0.6923076923076923,1.0,2,0,0,1,
14, NegateConditionals,34, "power(i，X) < N", "power(i，X) >= N",CREATED,0.6666666666666666,14,true,34,1,1.0,7,0.5,0.7071067811865475,1,0,1,1,
15, PrimitiveReturns,16, "count", "0",CREATED,0.0,15,true,16,1,1.0,6,0.6153846153846154,1.0,3,0,0,0,
16, PrimitiveReturns,43, "(int)Math.pow(a，b)", "0",CREATED,0.3333333333333333,16,true,43,1,1.0,4,0.6666666666666667,1.0,2,0,0,1,
17, ConditionalsBoundary,27, "sum + power(i，X) <= N", "sum + power(i，X) < N",CREATED,0.3333333333333333,17,true,27,1,1.0,8,0.46153846153846156,1.0,2,0,0,1,
18, ConditionalsBoundary,34, "power(i，X) < N", "power(i，X) <= N",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
