FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/AllPathsFromSourceToTarget.java,20,20,1.0,4,0,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,23,23,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,28,28,1.0,4,0,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,30,30,1.0,4,0,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,31,31,1.0,4,0,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,38,38,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,42,42,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,43,43,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,46,46,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,48,48,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,56,56,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,57,57,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,58,58,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,56,59,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,62,62,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,66,75,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,67,67,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,67,74,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,69,69,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,70,70,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,73,73,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,78,78,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,84,84,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,85,88,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,86,86,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,89,89,NaN,0,4,0,0,
src/main/java/example/AllPathsFromSourceToTarget.java,91,91,NaN,0,4,0,0,
