mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
9,false,20,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,23,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,28,1,1.0,27,0.0,1.0,4,0,0,0,
9,true,30,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,31,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,38,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,42,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,43,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,46,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,48,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,56,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,56,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,57,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,58,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,62,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,66,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,67,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,67,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,69,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,70,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,73,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,78,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,84,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,85,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,86,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,89,1,1.0,27,0.0,1.0,4,0,0,0,
9,false,91,1,1.0,27,0.0,1.0,4,0,0,0,
