mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, NullAssignment,84, "new AllPathsFromSourceToTarget(vertices)", "null",CREATED,0.0,1,true,84,1,1.0,2,0.0,1.0,4,0,0,0,
2, ChangeUnaryOperator,67, "!isVisited[i]", "isVisited[i]",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
3, EmptyAssignment,12, "new ArrayList<>()", "Collections.emptyList()",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
4, EmptyAssignment,28, "new ArrayList[v]", "new java.util.ArrayList[]{}",CREATED,0.0,4,true,28,1,1.0,3,0.0,1.0,4,0,0,0,
5, EmptyAssignment,42, "new boolean[v]", "new boolean[]{}",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
6, EmptyAssignment,43, "new ArrayList<>()", "Collections.emptyList()",NONE,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
7, Increments,30, "i++", "i--",CREATED,0.0,7,true,30,1,1.0,4,0.0,1.0,4,0,0,0,
8, NegateConditionals,30, "i <= v", "i > v",CREATED,0.0,8,true,30,1,1.0,6,0.0,1.0,4,0,0,0,
9, ConditionalsBoundary,30, "i <= v", "i < v",CREATED,0.0,9,true,30,1,1.0,27,0.0,1.0,4,0,0,0,
10, ChangeBooleanLiteral,62, "true", "false",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
11, ChangeBooleanLiteral,78, "false", "true",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
12, ChangeNumericLiteral,30, "0", "1",CREATED,0.0,12,true,30,1,1.0,4,0.0,1.0,4,0,0,0,
13, ChangeNumericLiteral,86, "0", "1",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
14, ChangeNumericLiteral,86, "1", "0",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
15, AddNotOperator,56, "u.equals(d)", "!u.equals(d)",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
16, EmptyReturns,91, "nm", "DELETED",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
