mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, Math,23, "x + 1", "x - 1",CREATED,0.16666666666666666,1,true,23,3,0.6666666666666667,7,0.0,0.4472135954999579,1,4,0,1,
2, Math,24, "x - 1", "x + 1",CREATED,0.16666666666666666,2,true,24,3,0.6666666666666667,7,0.0,0.4472135954999579,1,4,0,1,
3, Math,25, "y + 1", "y - 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
4, Math,26, "y - 1", "y + 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
5, Math,29, "x + 1", "x - 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
6, Math,29, "y - 1", "y + 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
7, Math,30, "x + 1", "x - 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
8, Math,30, "y + 1", "y - 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, Math,31, "x + 1", "x - 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
10, Math,31, "y + 1", "y - 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
11, Math,32, "x - 1", "x + 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
12, Math,32, "y - 1", "y + 1",CREATED,0.16666666666666666,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
13, MoreSpecificIfRight,16, "newColor != oldColor || x < 0 || x >= image.length || y < 0 || y >= image[x].length", "y >= image[x].length",CREATED,0.0,13,true,16,1,1.0,3,0.0,0.9128709291752769,5,1,0,0,
14, MoreSpecificIfRight,16, "newColor != oldColor || x < 0 || x >= image.length || y < 0", "y < 0",CREATED,0.0,14,true,16,1,1.0,3,0.0,0.9128709291752769,5,1,0,0,
15, MoreSpecificIfRight,16, "newColor != oldColor || x < 0 || x >= image.length", "x >= image.length",CREATED,0.16666666666666666,15,true,16,4,0.25,5,0.0,0.9128709291752769,5,0,1,0,
16, MoreSpecificIfRight,16, "newColor != oldColor || x < 0", "x < 0",CREATED,0.3333333333333333,16,true,16,4,0.7272727272727273,5,0.6363636363636364,0.8164965809277261,4,0,2,0,
17, MoreSpecificIfLeft,16, "newColor != oldColor || x < 0 || x >= image.length || y < 0 || y >= image[x].length", "newColor != oldColor || x < 0 || x >= image.length || y < 0",CREATED,0.16666666666666666,17,true,16,1,1.0,2,0.75,0.9128709291752769,5,0,1,0,
18, MoreSpecificIfLeft,16, "newColor != oldColor || x < 0 || x >= image.length || y < 0", "newColor != oldColor || x < 0 || x >= image.length",CREATED,0.16666666666666666,18,true,16,1,1.0,2,0.75,0.9128709291752769,5,0,1,0,
19, MoreSpecificIfLeft,16, "newColor != oldColor || x < 0 || x >= image.length", "newColor != oldColor || x < 0",CREATED,0.16666666666666666,19,true,16,1,1.0,1,1.0,0.9128709291752769,5,0,1,0,
20, MoreSpecificIfLeft,16, "newColor != oldColor || x < 0", "newColor != oldColor",CREATED,0.16666666666666666,20,true,16,1,1.0,2,0.75,0.9128709291752769,5,0,1,0,
21, NegateConditionals,16, "newColor != oldColor", "newColor == oldColor",CREATED,0.5,21,true,16,4,0.7272727272727273,5,0.6363636363636364,0.7071067811865476,3,0,3,0,
22, NegateConditionals,16, "x < 0", "x >= 0",CREATED,0.3333333333333333,22,true,16,1,1.0,2,0.0,0.8164965809277261,4,0,2,0,
23, NegateConditionals,16, "x >= image.length", "x < image.length",CREATED,0.3333333333333333,23,true,16,1,1.0,2,0.0,0.8164965809277261,4,0,2,0,
24, NegateConditionals,16, "y < 0", "y >= 0",CREATED,0.3333333333333333,24,true,16,1,1.0,2,0.0,0.8164965809277261,4,0,2,0,
25, NegateConditionals,16, "y >= image[x].length", "y < image[x].length",CREATED,0.3333333333333333,25,true,16,1,1.0,2,0.0,0.8164965809277261,4,0,2,0,
26, MoreSpecificIfOperator,16, "newColor != oldColor || x < 0 || x >= image.length || y < 0 || y >= image[x].length", "newColor != oldColor || x < 0 || x >= image.length || y < 0 && y >= image[x].length",CREATED,0.16666666666666666,26,true,16,1,1.0,2,0.75,0.9128709291752769,5,0,1,0,
27, MoreSpecificIfOperator,16, "newColor != oldColor || x < 0 || x >= image.length || y < 0", "newColor != oldColor || x < 0 || x >= image.length && y < 0",CREATED,0.16666666666666666,27,true,16,1,1.0,1,1.0,0.9128709291752769,5,0,1,0,
