FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/MazeRecursion.java,9,9,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,10,10,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,14,14,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,15,15,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,16,16,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,14,17,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,20,20,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,21,21,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,22,22,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,20,23,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,28,28,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,29,29,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,32,32,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,33,33,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,34,34,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,35,35,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,33,38,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,37,37,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,41,41,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,42,42,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,50,50,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,51,51,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,54,54,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,55,55,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,56,56,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,57,57,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,55,60,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,59,59,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,63,63,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,64,64,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,65,65,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,66,66,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,64,69,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,68,68,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,93,93,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,94,94,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,96,96,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,96,115,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,98,98,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,100,100,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,101,101,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,102,102,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,103,103,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,104,104,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,105,105,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,106,106,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,107,107,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,108,114,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,112,112,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,113,113,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,118,118,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,124,124,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,125,125,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,127,127,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,127,146,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,129,129,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,131,131,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,132,132,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,133,133,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,134,134,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,135,135,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,136,136,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,137,137,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,138,138,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,139,145,NaN,0,1,0,0,
src/main/java/example/MazeRecursion.java,143,143,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,144,144,1.0,1,0,0,0,
src/main/java/example/MazeRecursion.java,149,149,1.0,1,0,0,0,
