mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
14,false,93,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,94,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,96,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,96,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,98,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,100,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,101,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,102,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,103,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,118,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,124,1,1.0,14,0.0,1.0,1,0,0,0,
14,true,127,1,1.0,14,0.0,1.0,1,0,0,0,
14,true,127,1,1.0,14,0.0,1.0,1,0,0,0,
14,false,149,1,1.0,14,0.0,1.0,1,0,0,0,
