mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, ChangeStringLiteral,54, ""After the ball goes through the map1，show the current map1 condition"", ""After the ball goes through the map1，show the current map1 condition1"",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
2, ChangeStringLiteral,63, ""After the ball goes through the map2，show the current map2 condition"", ""After the ball goes through the map2，show the current map2 condition1"",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
3, ChangeStringLiteral,66, "" "", "" 1"",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
4, NegateConditionals,14, "i < 7", "i >= 7",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
5, NegateConditionals,20, "i < 8", "i >= 8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
6, NegateConditionals,34, "j < 7", "j >= 7",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
7, NegateConditionals,55, "i < 8", "i >= 8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
8, NegateConditionals,56, "j < 7", "j >= 7",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
9, NegateConditionals,64, "i < 8", "i >= 8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
10, NegateConditionals,65, "j < 7", "j >= 7",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
11, NegateConditionals,93, "map[6][5] == 2", "map[6][5] != 2",CREATED,0.0,11,true,93,1,1.0,14,0.0,1.0,1,0,0,0,
12, NegateConditionals,96, "map[i][j] == 0", "map[i][j] != 0",CREATED,0.0,12,true,96,1,1.0,16,0.0,1.0,1,0,0,0,
13, NegateConditionals,124, "map[6][5] == 2", "map[6][5] != 2",CREATED,0.0,13,true,124,1,1.0,12,0.0,1.0,1,0,0,0,
14, NegateConditionals,127, "map[i][j] == 0", "map[i][j] != 0",CREATED,0.0,14,true,127,1,1.0,14,0.0,1.0,1,0,0,0,
15, AddNotOperator,100, "setWay(map，i + 1，j)", "!setWay(map，i + 1，j)",CREATED,0.0,15,true,100,1,1.0,22,0.0,1.0,1,0,0,0,
16, AddNotOperator,102, "setWay(map，i，j + 1)", "!setWay(map，i，j + 1)",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
17, AddNotOperator,104, "setWay(map，i - 1，j)", "!setWay(map，i - 1，j)",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
18, AddNotOperator,131, "setWay2(map，i - 1，j)", "!setWay2(map，i - 1，j)",CREATED,0.0,18,true,131,1,1.0,17,0.0,1.0,1,0,0,0,
19, AddNotOperator,133, "setWay2(map，i，j + 1)", "!setWay2(map，i，j + 1)",CREATED,0.0,19,true,133,1,1.0,22,0.0,1.0,1,0,0,0,
20, AddNotOperator,137, "setWay2(map，i，j - 1)", "!setWay2(map，i，j - 1)",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
21, ConditionalsBoundary,20, "i < 8", "i <= 8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
22, ConditionalsBoundary,33, "i < 8", "i <= 8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
23, ConditionalsBoundary,34, "j < 7", "j <= 7",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
24, ConditionalsBoundary,41, "i < map.length", "i <= map.length",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
25, ConditionalsBoundary,55, "i < 8", "i <= 8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
26, ConditionalsBoundary,56, "j < 7", "j <= 7",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
27, ConditionalsBoundary,64, "i < 8", "i <= 8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
28, ConditionalsBoundary,65, "j < 7", "j <= 7",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
29, ChangeNumericLiteral,9, "8", "9",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
30, ChangeNumericLiteral,9, "7", "8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
31, ChangeNumericLiteral,10, "8", "9",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
32, ChangeNumericLiteral,10, "7", "8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
33, ChangeNumericLiteral,14, "7", "8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
34, ChangeNumericLiteral,15, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
35, ChangeNumericLiteral,15, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
36, ChangeNumericLiteral,16, "7", "8",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
37, ChangeNumericLiteral,16, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
38, ChangeNumericLiteral,20, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
39, ChangeNumericLiteral,20, "8", "9",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
40, ChangeNumericLiteral,21, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
41, ChangeNumericLiteral,22, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
42, ChangeNumericLiteral,28, "3", "4",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
43, ChangeNumericLiteral,28, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
44, ChangeNumericLiteral,28, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
45, ChangeNumericLiteral,29, "3", "4",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
46, ChangeNumericLiteral,29, "2", "3",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
47, ChangeNumericLiteral,29, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
48, ChangeNumericLiteral,33, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
49, ChangeNumericLiteral,33, "8", "9",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
50, ChangeNumericLiteral,34, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
51, ChangeNumericLiteral,42, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
52, ChangeNumericLiteral,42, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
53, ChangeNumericLiteral,50, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
54, ChangeNumericLiteral,50, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
55, ChangeNumericLiteral,51, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
