FileName,StartLine,EndLine,susValue,ef,nf,ep,np
src/main/java/example/WordSearch.java,41,41,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,45,45,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,46,46,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,47,47,NaN,0,3,0,0,
src/main/java/example/WordSearch.java,49,49,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,50,50,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,51,51,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,52,52,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,53,53,NaN,0,3,0,0,
src/main/java/example/WordSearch.java,54,54,NaN,0,3,0,0,
src/main/java/example/WordSearch.java,52,55,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,49,56,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,57,57,0.5773502691896258,1,2,0,0,
src/main/java/example/WordSearch.java,58,58,0.5773502691896258,1,2,0,0,
src/main/java/example/WordSearch.java,62,62,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,63,63,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,64,64,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,65,65,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,66,66,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,67,67,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,68,68,0.5773502691896258,1,2,0,0,
src/main/java/example/WordSearch.java,69,69,0.5773502691896258,1,2,0,0,
src/main/java/example/WordSearch.java,66,70,1.0,3,0,0,0,
src/main/java/example/WordSearch.java,73,73,0.5773502691896258,1,2,0,0,
