mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, LessSpecificIfLeft,41, "x >= 0 && x < board.length && y >= 0 && y < board[0].length", "x >= 0 && x < board.length && y >= 0",CREATED,0.6666666666666666,1,true,41,3,0.9130434782608696,20,0.17391304347826086,0.5773502691896258,1,0,2,0,
2, LessSpecificIfLeft,41, "x >= 0 && x < board.length && y >= 0", "x >= 0 && x < board.length",CREATED,0.3333333333333333,2,true,41,1,1.0,16,0.31818181818181823,0.8164965809277261,2,0,1,0,
3, LessSpecificIfLeft,41, "x >= 0 && x < board.length", "x >= 0",CREATED,0.6666666666666666,3,true,41,3,0.9090909090909091,22,0.045454545454545414,0.5773502691896258,1,0,2,0,
4, LessSpecificIfLeft,52, "isValid(xi，yi) && board[xi][yi] == word.charAt(nextIdx) && !visited[xi][yi]", "isValid(xi，yi) && board[xi][yi] == word.charAt(nextIdx)",CREATED,0.6666666666666666,4,true,52,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
5, LessSpecificIfLeft,52, "isValid(xi，yi) && board[xi][yi] == word.charAt(nextIdx)", "isValid(xi，yi)",CREATED,0.6666666666666666,5,true,52,1,1.0,21,0.0,0.5773502691896258,1,0,2,0,
6, NegateConditionals,41, "x >= 0", "x < 0",CREATED,0.0,6,true,41,1,1.0,16,0.25,1.0,3,0,0,0,
7, NegateConditionals,41, "x < board.length", "x >= board.length",CREATED,0.0,7,true,41,1,1.0,20,0.050000000000000044,1.0,3,0,0,0,
8, NegateConditionals,41, "y >= 0", "y < 0",CREATED,0.0,8,true,41,1,1.0,16,0.0,1.0,3,0,0,0,
9, NegateConditionals,41, "y < board[0].length", "y >= board[0].length",CREATED,0.3333333333333333,9,true,41,1,1.0,20,0.050000000000000044,0.8164965809277261,2,0,1,0,
10, NegateConditionals,46, "nextIdx == word.length()", "nextIdx != word.length()",CREATED,0.6666666666666666,10,true,46,1,1.0,12,0.0,0.5773502691896258,1,0,2,0,
11, NegateConditionals,49, "i < 4", "i >= 4",CREATED,0.3333333333333333,11,true,49,1,1.0,16,0.0,0.8164965809277261,2,0,1,0,
12, NegateConditionals,52, "board[xi][yi] == word.charAt(nextIdx)", "board[xi][yi] != word.charAt(nextIdx)",CREATED,0.6666666666666666,12,true,52,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
13, NegateConditionals,64, "i < board.length", "i >= board.length",CREATED,0.3333333333333333,13,true,64,1,1.0,4,0.0,0.8164965809277261,2,0,1,0,
14, NegateConditionals,65, "j < board[0].length", "j >= board[0].length",CREATED,0.3333333333333333,14,true,65,1,1.0,5,0.0,0.8164965809277261,2,0,1,0,
15, NegateConditionals,66, "board[i][j] == word.charAt(0)", "board[i][j] != word.charAt(0)",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
16, LessSpecificIfRight,41, "x >= 0 && x < board.length && y >= 0 && y < board[0].length", "y < board[0].length",CREATED,0.3333333333333333,16,true,41,1,1.0,16,0.25,0.8164965809277261,2,0,1,0,
17, LessSpecificIfRight,41, "x >= 0 && x < board.length && y >= 0", "y >= 0",CREATED,0.6666666666666666,17,true,41,1,1.0,16,0.31818181818181823,0.5773502691896258,1,0,2,0,
18, LessSpecificIfRight,41, "x >= 0 && x < board.length", "x < board.length",CREATED,0.6666666666666666,18,true,41,1,1.0,16,0.31818181818181823,0.5773502691896258,1,0,2,0,
19, LessSpecificIfRight,52, "isValid(xi，yi) && board[xi][yi] == word.charAt(nextIdx) && !visited[xi][yi]", "!visited[xi][yi]",CREATED,0.3333333333333333,19,true,52,1,1.0,15,0.26315789473684215,0.8164965809277261,2,0,1,0,
