mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, Math,15, "num - 1", "num + 1",CREATED,0.0,1,true,15,1,1.0,7,0.0,0.4472135954999579,1,4,0,0,
2, Math,15, "Key - arr[num]", "Key + arr[num]",CREATED,0.4,2,true,15,1,1.0,6,0.0,0.7745966692414834,3,0,2,0,
3, Math,16, "num - 1", "num + 1",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
4, MoreSpecificIfRight,11, "num < 0 || Key < 0", "Key < 0",CREATED,0.0,4,true,11,1,1.0,4,0.25,1.0,5,0,0,0,
5, MoreSpecificIfRight,18, "include || exclude", "exclude",CREATED,0.4,5,true,18,2,0.8333333333333334,7,0.0,0.7745966692414834,3,0,2,0,
6, ConditionalsBoundary,11, "num < 0", "num <= 0",CREATED,0.6,6,true,11,1,1.0,6,0.16666666666666663,0.6324555320336759,2,0,3,0,
7, ConditionalsBoundary,11, "Key < 0", "Key <= 0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
8, NegateConditionals,8, "Key == 0", "Key != 0",CREATED,0.6,8,true,8,1,1.0,2,0.0,0.6324555320336759,2,0,3,0,
9, NegateConditionals,11, "num < 0", "num >= 0",CREATED,0.4,9,true,11,1,1.0,3,0.0,0.7745966692414834,3,0,2,0,
10, NegateConditionals,11, "Key < 0", "Key >= 0",CREATED,0.4,10,true,11,1,1.0,3,0.0,0.7745966692414834,3,0,2,0,
11, MoreSpecificIfOperator,11, "num < 0 || Key < 0", "num < 0 && Key < 0",CREATED,0.0,11,true,11,1,1.0,6,0.16666666666666663,1.0,5,0,0,0,
12, MoreSpecificIfOperator,18, "include || exclude", "include && exclude",CREATED,0.4,12,true,18,2,0.8333333333333334,7,0.0,0.7745966692414834,3,0,2,0,
13, AddNotOperator,15, "subsetSum(arr，num - 1，Key - arr[num])", "!subsetSum(arr，num - 1，Key - arr[num])",CREATED,0.6,13,true,15,1,1.0,6,0.16666666666666663,0.6324555320336759,2,0,3,0,
14, AddNotOperator,16, "subsetSum(arr，num - 1，Key)", "!subsetSum(arr，num - 1，Key)",CREATED,0.2,14,true,16,1,1.0,6,0.16666666666666663,0.8944271909999159,4,0,1,0,
15, TrueReturns,18, "include || exclude", "true",CREATED,0.6,15,true,18,1,1.0,6,0.16666666666666663,0.6324555320336759,2,0,3,0,
16, MoreSpecificIfLeft,11, "num < 0 || Key < 0", "num < 0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
17, MoreSpecificIfLeft,18, "include || exclude", "include",CREATED,0.4,17,true,18,2,0.8333333333333334,7,0.0,0.7745966692414834,3,0,2,0,
18, ChangeNumericLiteral,8, "0", "1",CREATED,0.6,18,true,8,1,1.0,7,0.0,0.6324555320336759,2,0,3,0,
19, ChangeNumericLiteral,11, "0", "1",CREATED,0.6,19,true,11,1,1.0,6,0.16666666666666663,0.6324555320336759,2,0,3,0,
20, ChangeNumericLiteral,11, "0", "1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
21, ChangeNumericLiteral,15, "1", "0",CREATED,0.6,21,true,15,1,1.0,7,0.0,0.6324555320336759,2,0,3,0,
22, ChangeNumericLiteral,16, "1", "0",CREATED,0.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
23, FalseReturns,18, "include || exclude", "false",CREATED,0.4,23,true,18,2,0.8333333333333334,7,0.0,0.7745966692414834,3,0,2,0,
