mutanID,type,line,before,after,flResult,fitness,_mutanID,_bug,_line,_(Pos)rank,_(Pos)FLscore,_(Neg)rank,_(Neg)FLscore,_susValue,_ef,_nf,_ep,_np
1, NegateConditionals,18, "n == 0", "n != 0",CREATED,0.0,1,true,18,1,1.0,1,1.0,1.0,6,0,0,0,
2, NegateConditionals,19, "n == 1", "n != 1",CREATED,0.5,2,true,19,1,1.0,1,1.0,0.7745966692414834,3,0,2,1,
3, NegateConditionals,19, "n == 2", "n != 2",CREATED,0.5,3,true,19,1,1.0,1,1.0,0.7745966692414834,3,0,2,1,
4, NegateConditionals,25, "i <= n", "i > n",CREATED,0.5,4,true,25,1,1.0,6,0.2857142857142857,1.0,3,0,0,3,
5, ConditionalsBoundary,25, "i <= n", "i < n",CREATED,0.5,5,true,25,1,1.0,6,0.5454545454545454,1.0,3,0,0,3,
6, MoreSpecificIfRight,19, "n == 1 || n == 2", "n == 2",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
7, MoreSpecificIfLeft,19, "n == 1 || n == 2", "n == 1",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
8, Increments,25, "i++", "i--",CREATED,0.5,8,true,25,1,1.0,10,0.18181818181818177,1.0,3,0,0,3,
9, PrimitiveReturns,32, "third", "0",CREATED,0.5,9,true,32,1,1.0,10,0.18181818181818177,1.0,3,0,0,3,
10, ChangeNumericLiteral,18, "0", "1",CREATED,0.6666666666666666,10,true,18,1,1.0,1,1.0,0.5773502691896258,2,0,4,0,
11, ChangeNumericLiteral,19, "1", "0",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
12, ChangeNumericLiteral,19, "2", "3",CREATED,0.8333333333333334,12,true,19,1,1.0,1,1.0,0.4472135954999579,1,0,4,1,
13, ChangeNumericLiteral,21, "0", "1",CREATED,0.5,13,true,21,1,1.0,10,0.18181818181818177,1.0,3,0,0,3,
14, ChangeNumericLiteral,22, "1", "0",CREATED,0.5,14,true,22,1,1.0,10,0.18181818181818177,1.0,3,0,0,3,
15, ChangeNumericLiteral,23, "1", "0",CREATED,0.5,15,true,23,1,1.0,10,0.18181818181818177,1.0,3,0,0,3,
16, ChangeNumericLiteral,25, "3", "4",CREATED,0.5,16,true,25,1,1.0,6,0.5454545454545454,1.0,3,0,0,3,
17, PrimitiveAssignment,26, "first + second + third", "0",CREATED,0.5,17,true,26,1,1.0,10,0.18181818181818177,1.0,3,0,0,3,
18, PrimitiveAssignment,27, "second", "0",CREATED,0.6666666666666666,18,true,27,1,1.0,10,0.18181818181818177,0.8164965809277261,2,0,1,3,
19, PrimitiveAssignment,28, "third", "0",CREATED,0.6666666666666666,19,true,28,1,1.0,10,0.18181818181818177,0.8164965809277261,2,0,1,3,
20, PrimitiveAssignment,29, "next", "0",CREATED,0.5,20,true,29,1,1.0,10,0.18181818181818177,1.0,3,0,0,3,
21, Math,26, "first + second + third", "first - second - third",CREATED,0.5,21,true,26,1,1.0,10,0.18181818181818177,1.0,3,0,0,3,
22, MoreSpecificIfOperator,19, "n == 1 || n == 2", "n == 1 && n == 2",FAILED,1.0,-1,true,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,-1,
