01, EmptyAssignment, 37, "new int[n]", "new int[]{}"
02, EmptyAssignment, 57, "new int[m][n]", "new int[][]{}"
03, NegateConditionals, 34, "m > n", "m <= n"
04, NegateConditionals, 39, "i < m", "i >= m"
05, NegateConditionals, 40, "j < n", "j >= n"
06, NegateConditionals, 58, "i < m", "i >= m"
07, NegateConditionals, 61, "j < n", "j >= n"
08, NegateConditionals, 64, "i < m", "i >= m"
09, NegateConditionals, 65, "j < n", "j >= n"
10, Increments, 39, "i++", "i--"
11, Increments, 40, "j++", "j--"
12, Increments, 58, "i++", "i--"
13, Increments, 61, "j++", "j--"
14, Increments, 64, "i++", "i--"
15, Increments, 65, "j++", "j--"
16, PrimitiveReturns, 35, "uniquePaths(n，m)", "0"
17, PrimitiveReturns, 44, "dp[n - 1]", "0"
18, PrimitiveReturns, 69, "dp[m - 1][n - 1]", "0"
19, Math, 41, "j - 1", "j + 1"
20, Math, 44, "n - 1", "n + 1"
21, Math, 66, "i - 1", "i + 1"
22, Math, 66, "j - 1", "j + 1"
23, Math, 69, "m - 1", "m + 1"
24, Math, 69, "n - 1", "n + 1"
25, ChangeNumericLiteral, 38, "1", "0"
26, ChangeNumericLiteral, 39, "1", "0"
27, ChangeNumericLiteral, 40, "1", "0"
28, ChangeNumericLiteral, 41, "1", "0"
29, ChangeNumericLiteral, 44, "1", "0"
30, ChangeNumericLiteral, 58, "0", "1"
31, ChangeNumericLiteral, 59, "0", "1"
32, ChangeNumericLiteral, 59, "1", "0"
33, ChangeNumericLiteral, 61, "0", "1"
34, ChangeNumericLiteral, 62, "0", "1"
35, ChangeNumericLiteral, 62, "1", "0"
36, ChangeNumericLiteral, 64, "1", "0"
37, ChangeNumericLiteral, 65, "1", "0"
38, ChangeNumericLiteral, 66, "1", "0"
39, ChangeNumericLiteral, 66, "1", "0"
40, ChangeNumericLiteral, 69, "1", "0"
41, ChangeNumericLiteral, 69, "1", "0"
42, ConditionalsBoundary, 34, "m > n", "m >= n"
43, ConditionalsBoundary, 39, "i < m", "i <= m"
44, ConditionalsBoundary, 40, "j < n", "j <= n"
45, ConditionalsBoundary, 58, "i < m", "i <= m"
46, ConditionalsBoundary, 61, "j < n", "j <= n"
47, ConditionalsBoundary, 64, "i < m", "i <= m"
48, ConditionalsBoundary, 65, "j < n", "j <= n"
